SERIES NAME	SERIES CODE	BILLING ALLOWED	SINGLE REF A/C	GST DOCUMENT TYPE	GST -> ALPHABET ADD (SUFFIX) IN BILL/NOTE NO.	BILLING FORM NAME	BILLING SALE/PUR A/C	BILLING A/C TYPE	STOCK TYPE	NO. SERIES	PREVIOUS LINK	NEXT LINK	DISCOUNT JVS	0 GRACE FOR INTEREST CALCULATION	DISC. A/C	DESIGN NOS. ENTRY	TDS %	TDS A/C	STOCK EFFECT	COMPULSORY LINK	SHOW ALL ENTRIES IN PICK	ALL COMPANIES DATA IN PICK	COPY ITEM DETAILS ALSO AFTER REF NO. (PICK) ENTRY	WARN ON MANUAL ENTRY OF V NO.	GST -> SINGLE GST RATE FOR ALL ITEMS IN BILL	GST -> DEFAULT HSN/SAC CODE	GST -> ELIGIBILITY FOR INPUT TAX CREDIT (PURCHASES)	CGST %	SGST %	GST A/C	OLD VAT A/C	STAGE GROUP	MAIN STAGE/LINK	FINAL STAGE OF JOB CARD	INCLUDE COSTING OF STAGE	SCAN PATH	TCS A/C
FINISH PURCHASE	P2	1	-1	Inward Invoices (All Purchases)		CHALLAN	FINISH PURCHASE	CREDITORS FOR GOODS	FINISH				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1	5407	Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
SALES GOODS RETURN	P3	1	-1	Credit Note		CHALLAN	SALES RETURN	SUNDRY DEBTORS	FINISH				1	1	DISCOUNT A/C	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. LACE BILLS	P31	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP LACE CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
PACKING MATERIAL	P4	1	-1	Inward Invoices (All Purchases)		CHALLAN	PACKING MATERIAL PURCHASE	CREDITORS FOR PACKING MAT.					1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	0		Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. POONAM BILLS	P45	1	-1	Inward Invoices (All Purchases)	WP	CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP POONAM CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
WORK REC. CHALLAN	P5	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK				1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C	1	0	0	0	0	1	1	9988	Input Services	0	0					0	0		
BOX PURCHASES	P6	1	-1	Inward Invoices (All Purchases)		CHALLAN	PACKING MATERIAL PURCHASE	CREDITORS FOR PACKING MAT.	BOX				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
CREDIT NOTE (TDS)	P66	1	0			BILLSDIR	TDS RECEIVABLE A/C (194Q)						1	0	DISCOUNT A/C PURCHASE	0	0			0	0	0	0	1	1			0	0					0	0		
WORK REC. BILLS	P7	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
CREDIT NOTE (TCS)	P77	1	0			BILLSDIR	TCS RECEIVABLE A/C						1	0	DISCOUNT A/C PURCHASE	0	0			0	0	0	0	1	1			0	0					0	0		
GENERAL PURCHASES	P8	1	0	Inward Invoices (All Purchases)		BILLSDIR	PRINTING & STATIONERY A/C	CREDITORS FOR PACKING MAT.	WORK				1	0	DISCOUNT A/C	0	0		1	0	0	0	0	1	1		Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
WORK REC. SUIT BILLS	P9	1	-1	Inward Invoices (All Purchases)		CHALLAN	EMBROIDERY JOB CHARGES	CREDITORS FOR EMB.JOB CHARGE	WORK		WORK DESP CHALLAN		1	0	DISCOUNT A/C	0	0	TDS PAYABLE A/C		0	0	0	0	1	1	9988	Input Services	2.5	2.5	GST PAYABLE A/C				0	0		
CREDIT NOTE (ON SALES)	P91	1	-1	Credit Note	C	BILLSDIR	DISCOUNT A/C SALES	SUNDRY DEBTORS					1	0	DISCOUNT A/C SALES	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		
CREDIT NOTE (ON PURCHASES)	P92	1	0	Credit Note (inward)		BILLSDIR	DISCOUNT A/C PURCHASE						1	0	DISCOUNT A/C PURCHASE	0	0			0	0	0	0	1	1		Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
PURCHASE (GST INPUT SERVICES)	P93	1	0	Inward Invoices (All Purchases)		CHALLAN	PURCHASE (SERVICES)						1	0	DISCOUNT A/C PURCHASE	0	0	TDS PAYABLE A/C	1	0	0	0	0	1	0		Input Services	9	9	GST PAYABLE A/C				0	0		
PURCHASE (GST CAPITAL GOODS)	P94	1	0	Inward Invoices (All Purchases)		CHALLAN	PURCHASE (CAPTIAL GOODS/ASSETS)						1	0	DISCOUNT A/C PURCHASE	0	0	TDS PAYABLE A/C	1	0	0	0	0	1	0		Capital Goods	9	9	GST PAYABLE A/C				0	0		
PURCHASE (GST GENERAL GOODS)	P95	1	0	Inward Invoices (All Purchases)		CHALLAN	PURCHASE (GENERAL GOODS)						1	0	DISCOUNT A/C PURCHASE	0	0	TDS PAYABLE A/C		0	0	0	0	1	0		Input Goods	2.5	2.5	GST PAYABLE A/C				0	0		
SALES	S	1	0					SUNDRY DEBTORS					0	0		0	0			0	0	0	0	1	0			0						0	0		
FINISH SALES	S1	1	-1	Invoices for outward supply		CHALLAN	SALES A/C	SUNDRY DEBTORS	FINISH		SALES ORDERS		1	0	DISCOUNT A/C	0	0		-1	0	0	0	0	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		TCS PAYABLE A/C
GREY PURCHASE RETURN	S2	1	-1	Debit Note (inward)		CHALLAN	GREY PURCHASE RETURN A/C		GREY				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
FINISH PURCHASE RETURN	S3	1	-1	Debit Note (inward)		CHALLAN	FINISH PURCHASE RETURN A/C		FINISH				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
